segment,timestamp,server_id,quality,bitrate_kbps,vazao_kbps,download_time_s,variacao de atraso (jitter)_network_ms,variacao de atraso (jitter)_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-05-20T20:34:10.536161,A,240p,200,1149.29,0.174,0.0,0.0,1.0,0,1,1.0,0
2,2026-05-20T20:34:11.115606,A,480p,700,1208.05,0.579,417.62,83.52,2.42,1,0,0.0,0
3,2026-05-20T20:34:11.673044,A,480p,700,1272.11,0.55,1442.56,355.33,3.86,1,0,0.0,0
4,2026-05-20T20:34:12.186682,A,480p,700,1388.98,0.504,1486.36,581.54,5.35,1,0,0.0,0
5,2026-05-20T20:34:12.730250,A,480p,700,1292.54,0.542,1456.43,756.52,6.8,1,0,0.0,0
6,2026-05-20T20:34:13.275480,A,480p,700,1285.07,0.545,1454.77,896.17,8.26,1,0,0.0,0
7,2026-05-20T20:34:13.829111,A,480p,700,1301.03,0.538,1446.37,1006.21,9.7,1,0,0.0,0
8,2026-05-20T20:34:14.419445,A,480p,700,1185.77,0.59,1409.67,1086.9,11.11,1,0,0.0,0
9,2026-05-20T20:34:14.969612,A,480p,700,1272.34,0.55,1449.83,1159.49,12.56,1,0,0.0,0
10,2026-05-20T20:34:15.520368,A,480p,700,1270.98,0.551,1449.24,1217.44,14.01,1,0,0.0,0
