segment,timestamp,server_id,quality,bitrate_kbps,vazao_kbps,download_time_s,variacao de atraso (jitter)_network_ms,variacao de atraso (jitter)_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-05-20T20:48:20.519027,A,240p,200,1168.45,0.171,0.0,0.0,1.0,0,1,1.0,0
2,2026-05-20T20:48:21.092443,A,480p,700,1222.93,0.572,424.94,84.99,2.42,1,0,0.0,0
3,2026-05-20T20:48:21.625852,A,480p,700,1327.36,0.527,1466.59,361.31,3.89,1,0,0.0,0
4,2026-05-20T20:48:22.164840,A,480p,700,1298.73,0.539,1461.01,581.25,5.35,1,0,0.0,0
5,2026-05-20T20:48:22.744085,A,480p,700,1208.47,0.579,1420.75,749.15,6.77,1,0,0.0,0
6,2026-05-20T20:48:23.267450,A,480p,700,1337.5,0.523,1476.64,894.65,8.25,1,0,0.0,0
7,2026-05-20T20:48:23.762541,A,480p,700,1413.88,0.495,1504.91,1016.7,9.75,1,0,0.0,0
8,2026-05-20T20:48:24.278913,A,480p,700,1355.61,0.516,1483.63,1110.09,11.24,1,0,0.0,0
9,2026-05-20T20:48:24.831893,A,480p,700,1265.87,0.553,1447.02,1177.47,12.69,1,0,0.0,0
10,2026-05-20T20:48:25.410873,A,480p,700,1209.02,0.579,1421.02,1226.18,14.11,1,0,0.0,0
