segment,timestamp,server_id,quality,bitrate_kbps,vazao_kbps,download_time_s,variacao de atraso (jitter)_network_ms,variacao de atraso (jitter)_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-05-20T21:08:57.385189,A,240p,200,1167.35,0.171,0.0,0.0,0.99,0,1,1.0,0
2,2026-05-20T21:08:57.919906,A,480p,700,1310.36,0.534,455.92,91.18,2.46,1,0,0.0,0
3,2026-05-20T21:08:58.475426,A,480p,700,1302.14,0.538,1444.48,361.84,3.9,1,0,0.0,0
4,2026-05-20T21:08:59.056181,A,480p,700,1205.33,0.581,1419.24,573.32,5.32,1,0,0.0,0
5,2026-05-20T21:08:59.618390,A,480p,700,1245.09,0.562,1437.79,746.22,6.76,1,0,0.0,0
6,2026-05-20T21:09:00.238260,A,480p,700,1129.27,0.62,1380.13,873.0,8.14,1,0,0.0,0
7,2026-05-20T21:09:00.815941,A,480p,700,1218.1,0.575,1422.32,982.86,9.56,1,0,0.0,0
8,2026-05-20T21:09:01.404656,A,480p,700,1191.06,0.588,1411.29,1068.55,10.97,1,0,0.0,0
9,2026-05-20T21:09:01.951122,A,480p,700,1285.7,0.544,1453.53,1145.55,12.42,1,0,0.0,0
10,2026-05-20T21:09:02.477828,A,480p,700,1334.23,0.525,1473.29,1211.09,13.9,1,0,0.0,0
